Timestamp,Sugar(%),Flour(%),Egg(%),Butter(%),Milk(%),Moisture(%),Density(g/cm3),Volume(mL),Springiness,Cohesiveness,Hardness(gf),Chewiness(mJ),Anomaly_Status
2020-01-01,27.48,35.18,19.8,17.98,11.29,5.0,0.365,369.04,0.688,0.786,253.63,1.37,Anomaly
2020-01-02,24.31,34.41,17.85,14.79,11.86,5.0,0.338,481.49,0.934,0.525,293.16,1.44,Normal
2020-01-03,28.24,38.86,22.05,12.2,9.01,5.0,0.29,436.7,0.769,0.704,279.6,1.51,Anomaly
2020-01-04,32.62,43.84,24.46,14.02,7.69,5.0,0.447,477.84,0.716,0.744,417.18,2.22,Anomaly
2020-01-05,23.83,32.77,18.26,15.45,10.54,5.0,0.312,543.2,0.664,0.636,226.47,0.96,Normal
2020-01-06,23.83,29.52,20.72,18.07,8.35,5.0,0.383,342.93,0.686,0.838,308.09,1.77,Anomaly
2020-01-07,32.9,34.65,21.5,16.51,8.96,5.0,0.403,415.02,0.891,0.622,298.9,1.66,Anomaly
2020-01-08,28.84,45.32,21.42,12.87,12.65,5.0,0.322,439.53,0.815,0.542,292.96,1.29,Anomaly
2020-01-09,22.65,31.79,20.23,21.21,11.65,5.0,0.402,522.74,0.92,0.848,293.48,2.29,Anomaly
2020-01-10,27.71,41.56,22.23,15.66,10.32,5.0,0.388,368.18,0.681,0.831,293.04,1.66,Anomaly
2020-01-11,22.68,41.71,21.45,18.19,7.46,5.0,0.436,546.79,0.642,0.482,352.38,1.09,Anomaly
2020-01-12,22.67,32.79,16.29,14.62,10.42,5.0,0.327,456.79,0.602,0.413,336.54,0.84,Anomaly
2020-01-13,26.21,37.28,22.61,16.33,12.13,5.0,0.286,445.2,0.778,0.445,325.13,1.13,Anomaly
2020-01-14,15.43,41.51,22.66,17.1,9.25,5.0,0.325,440.1,0.949,0.543,117.96,0.61,Anomaly
2020-01-15,16.38,33.48,17.71,18.05,12.7,5.0,0.36,428.19,0.843,0.886,317.99,2.38,Anomaly
2020-01-16,22.19,34.19,20.11,17.64,12.59,5.0,0.353,502.41,0.708,0.679,200.66,0.96,Anomaly
2020-01-17,19.94,32.67,22.05,17.18,13.33,5.0,0.33,396.57,0.907,0.587,338.78,1.8,Anomaly
2020-01-18,26.57,30.94,19.37,14.21,10.61,5.0,0.255,467.27,0.874,0.844,388.47,2.87,Anomaly
2020-01-19,20.46,32.4,23.22,13.57,11.17,5.0,0.374,430.79,0.605,0.627,244.43,0.93,Anomaly
2020-01-20,17.94,30.1,27.09,15.83,12.83,5.0,0.449,411.89,0.886,0.558,284.29,1.41,Anomaly
2020-01-21,32.33,35.14,17.64,17.33,10.89,5.0,0.373,579.3,0.705,0.871,264.04,1.62,Anomaly
2020-01-22,23.87,31.92,15.86,14.44,9.0,5.0,0.38,470.95,0.652,0.825,374.13,2.01,Anomaly
2020-01-23,25.34,35.94,20.91,17.66,9.1,5.0,0.379,480.66,0.679,0.822,305.7,1.71,Anomaly
2020-01-24,17.88,28.78,22.16,18.63,10.48,5.0,0.37,506.89,0.764,0.656,403.7,2.02,Anomaly
2020-01-25,22.28,36.32,19.31,12.71,7.42,5.0,0.397,378.93,0.749,0.795,324.83,1.93,Anomaly
2020-01-26,25.55,38.33,24.36,12.91,9.71,5.0,0.37,537.61,0.701,0.49,314.55,1.08,Anomaly
2020-01-27,19.25,27.03,15.98,14.65,12.19,10.58,0.334,324.55,0.66,0.687,304.09,1.38,Anomaly
2020-01-28,26.88,36.5,22.08,15.77,5.62,5.0,0.31,411.56,0.867,0.892,349.08,2.7,Anomaly
2020-01-29,22.0,39.91,18.18,13.69,13.07,5.0,0.338,427.05,0.947,0.545,195.74,1.01,Anomaly
2020-01-30,23.54,30.16,25.16,18.38,12.24,5.0,0.366,479.09,0.872,0.797,305.12,2.12,Anomaly
2020-01-31,21.99,41.69,25.98,16.06,9.08,5.0,0.334,460.94,0.704,0.645,295.8,1.34,Anomaly
2020-02-01,34.26,36.68,17.7,15.1,11.09,5.0,0.366,441.66,0.686,0.42,343.53,0.99,Anomaly
2020-02-02,24.93,32.18,18.35,11.41,10.01,5.0,0.372,449.4,0.676,0.782,288.74,1.53,Anomaly
2020-02-03,19.71,34.78,22.58,11.71,12.46,5.0,0.392,401.1,0.648,0.484,237.68,0.75,Anomaly
2020-02-04,29.11,37.23,18.84,15.7,11.97,5.0,0.414,375.14,0.793,0.716,300.44,1.71,Normal
2020-02-05,18.9,35.3,19.86,9.67,7.2,7.85,0.354,486.33,0.812,0.443,235.03,0.85,Anomaly
2020-02-06,26.04,37.16,20.08,17.53,11.17,5.0,0.285,484.69,0.847,0.873,184.48,1.36,Anomaly
2020-02-07,15.2,31.32,14.24,14.6,9.59,14.74,0.333,529.22,0.838,0.546,343.63,1.57,Anomaly
2020-02-08,18.36,35.68,19.96,23.11,10.17,5.0,0.352,410.5,0.702,0.513,334.74,1.21,Anomaly
2020-02-09,25.98,29.35,17.93,20.77,8.54,5.0,0.258,484.64,0.716,0.465,328.03,1.09,Anomaly
2020-02-10,28.69,34.56,18.52,14.55,13.5,5.0,0.419,435.81,0.839,0.873,378.18,2.77,Anomaly
2020-02-11,25.86,31.38,24.33,14.73,12.08,5.0,0.357,509.52,0.722,0.756,260.1,1.42,Anomaly
2020-02-12,24.42,32.06,16.23,17.49,8.52,5.0,0.369,501.1,0.674,0.771,214.13,1.11,Anomaly
2020-02-13,23.49,39.94,22.44,19.26,7.33,5.0,0.418,460.56,0.731,0.65,295.8,1.41,Anomaly
2020-02-14,17.61,39.37,19.16,10.9,9.23,5.0,0.318,433.02,0.695,0.637,279.15,1.24,Anomaly
2020-02-15,21.4,37.44,19.16,10.53,10.87,5.0,0.379,498.05,0.631,0.455,249.46,0.72,Anomaly
2020-02-16,22.7,30.63,22.37,13.44,10.48,5.0,0.345,482.35,0.891,0.68,295.21,1.79,Anomaly
2020-02-17,30.29,33.73,21.02,16.46,12.51,5.0,0.341,415.78,0.899,0.523,263.3,1.24,Anomaly
2020-02-18,26.72,39.85,21.71,16.24,11.58,5.0,0.311,383.61,0.677,0.889,189.84,1.14,Anomaly
2020-02-19,16.18,35.57,22.9,17.67,11.94,5.0,0.433,435.57,0.623,0.798,273.53,1.36,Anomaly
2020-02-20,26.62,44.28,19.01,12.0,10.65,5.0,0.331,525.77,0.859,0.606,231.82,1.21,Anomaly
2020-02-21,23.07,36.57,18.16,9.21,7.22,5.16,0.385,507.32,0.674,0.476,313.9,1.01,Anomaly
2020-02-22,21.62,35.77,16.74,17.15,9.61,5.0,0.256,394.38,0.738,0.793,260.64,1.53,Anomaly
2020-02-23,28.06,33.76,17.52,12.93,12.12,5.0,0.409,391.61,0.622,0.461,366.7,1.05,Anomaly
